artist.hotttnesss,artist.id,artist.name,latitude,longitude,release.id,release.name,song.id,tempo,terms,title,year
0.401997543,ARD7TVE1187B99BFB1,Casual,37.1573567501,-63.9333578685,300848,Fear Itself,SOMZWCG12A8C13C480,92.198,hip hop,I Didn't Mean To,1994
0.417499645,ARMJAGH1187FB546F3,The Box Tops,35.14968,-90.04892,300822,Dimensions,SOCIWDW12A8C13D406,121.274,blue-eyed soul,Soul Deep,1969
0.343428378,ARKRRTF1187B9984DA,Sonora Santanera,37.1573567501,-63.9333578685,514953,Las Numero 1 De La Sonora Santanera,SOXVLOJ12AB0189215,100.07,salsa,Amor De Cabaret,1991
0.454231157,AR7G5I41187FB4CE6C,Adam Ant,37.1573567501,-63.9333578685,287650,Friend Or Foe,SONHOTT12A8C13493C,119.293,pop rock,Something Girls,1982
0.401723686,ARXR32B1187FB57099,Gob,37.1573567501,-63.9333578685,611336,Muertos Vivos,SOFSOCN12A8C143F5D,129.738,pop punk,Face the Ashes,2007
0.385470551,ARKFYS91187B98E58F,Jeff And Sheri Easter,37.1573567501,-63.9333578685,41838,Ordinary Day,SOYMRWW12A6D4FAB14,147.782,southern gospel,The Moon And I (Ordinary Day Album Version),2000
0.261941177,ARD0S291187B9B7BF5,Rated R,37.1573567501,-63.9333578685,25824,Da Ghetto Psychic,SOMJBYD12A6D4F8557,111.787,breakbeat,Keepin It Real (Skit),0
0.605507136,AR10USD1187B99F3F1,Tweeterfriendly Music,37.1573567501,-63.9333578685,8876,Gin & Phonic,SOHKNRJ12A6701D1F8,101.43,post-hardcore,Drop of Rain,0
0.332275747,AR8ZCNI1187B9A069B,Planet P Project,37.1573567501,-63.9333578685,358182,Pink World,SOIAZJW12AB01853F1,86.643,new wave,Pink World,1984
0.422705641,ARNTLGG11E2835DDB9,Clp,37.1573567501,-63.9333578685,692313,Superinstrumental,SOUDSGM12AC9618304,114.041,breakcore,Insatiable (Instrumental Version),0
0.296268954,ARGSJW91187B9B1D6B,JennyAnyKind,35.21962,-80.01955,539081,I Need You,SOQHXMF12AB0182363,146.765,alternative rock,Young Boy Blues,0
0.351555861,ARC43071187B990240,Wayne Watson,37.1573567501,-63.9333578685,163874,The Way Home,SOKEJEJ12A8C13E0D0,117.975,ccm,The Urgency (LP Version),0
0.37948217,ARL7K851187B99ACD2,Andy Andy,37.1573567501,-63.9333578685,575792,Placer & Castigo,SOMUYGI12AB0188633,130.04,bachata,La Culpa,0
0.251936525,ARHHO3O1187B989413,Bob Azzam,37.1573567501,-63.9333578685,815863,Arrivederci,SORAMLE12AB017C8B0,137.334,chanson,Auguri Cha Cha,0
0.553071992,ARIK43K1187B9AE54C,Lionel Richie,37.1573567501,-63.9333578685,25811,Dancing On The Ceiling,SOBONFF12A6D4F84D8,125.197,quiet storm,Tonight Will Be Alright,1986
0.447935481,ARD842G1187B997376,Blue Rodeo,43.64856,-79.38533,135122,Outskirts,SOHUOAP12A8AE488E9,119.826,country rock,Floating,1987
0.330806357,ARIG6O41187B988BDD,Richard Souther,37.16793,-95.84502,149958,Cross Currents,SOUQQEA12A8C134B1B,127.756,chill-out,High Tide,0
0.306676094,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,37.1573567501,-63.9333578685,535188,Panjtan Ka Ghulam,SOILPQQ12AB017E82A,99.273,qawwali,Sohna Nee Sohna Data,0
0.51346329,ARYKCQI1187FB3B18F,Tesla,37.1573567501,-63.9333578685,372309,Gold,SOXLBJT12A8C140925,150.062,hard rock,Caught In A Dream,2004
0,ARNPAGP1241B9C7FD4,lextrical,37.1573567501,-63.9333578685,541101,Whatever Happened To Boredom?,SOZVMJI12AB01808AF,138.331,indietronica,Synthetic Dream,0
0.291539727,ARQGYP71187FB44566,Jimmy Wakely,34.31109,-94.02978,605134,1942-1952 Jimmy Wakely,SOWTBJW12AC468AC6E,86.186,classic country,Broken-Down Merry-Go-Round,0
0.328553015,ARI3BMM1187FB4255E,Alice Stuart,38.8991,-77.029,239740,All The Good Times,SOBEBDG12A58A76D60,110.382,electric blues,Kassie Jones,0
0.378254686,AR5KOSW1187FB35FF4,Elena,49.80388,15.47491,386995,Un cafe_ setanta matins,SOZCTXZ12AB0182364,111.874,uk garage,Setanta matins,0
0.541888972,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,40.82624,-74.47995,223365,Miss Machine,SOBBUGU12A8C13E95D,166.862,math-core,Setting Fire to Sleeping Giants,2004
0.306242264,AR47JEX1187B995D81,SUE THOMPSON,37.83721,-94.35868,652784,Sue Thompson - Her Very Best,SOBLGCN12AB0183212,137.522,pop rock,James (Hold The Ladder Steady),1985
0.363651365,ARGIWFO1187B9B55B7,Five Bolt Main,37.1573567501,-63.9333578685,45730,Live,SOPSWQW12A6D4F8781,164.672,post-grunge,Made Like This (Live),0
0.422705641,ARNTLGG11E2835DDB9,Clp,37.1573567501,-63.9333578685,672016,Strictly Confidential,SOZQDIU12A58A7BCF6,125.006,breakcore,Superconfidential,0
0.349912612,ARDNS031187B9924F0,Tim Wilson,32.67828,-83.22295,160881,The Real Twang Thang,SONYPOM12A8C13B2D7,90.022,filk,I Think My Wife Is Running Around On Me (Taco Hell),2005
0.379671125,AROUOZZ1187B9ABE51,Willie Bobo,40.79195,-73.94512,59744,Willie Bobo's Finest Hour,SOBZBAZ12A6D4F8742,127.025,latin jazz,Spanish Grease,1997
0.299230368,ARH4Z031187B9A71F2,Faye Adams,40.73197,-74.17418,373723,Shake A Hand,SOVYKGO12AB0187199,95.957,jump blues,Crazy Mixed Up World,1961
0.416173065,ARB29H41187B98F0EF,Terry Callier,41.88415,-87.63241,228326,Occasional Rain,SOGNCJP12A58A80271,110.189,soul jazz,Do You Finally Need A Friend,1972
0.452789477,AR1Y2PT1187FB5B9CE,John Wesley,27.94017,-82.32547,463514,The Emperor Falls,SOLLHMX12AB01846DC,138.007,disco,The Emperor Falls,0
0.418216518,ARAJPHH1187FB5566A,The Shangri-Las,40.7038,-73.83168,643400,Best of The Shangri-Las,SOYTPEP12AB0180E7B,130.1,doo-wop,Twist and Shout,1964
0.384611084,AR0RCMP1187FB3F427,Billie Jo Spears,30.08615,-94.10158,663761,20 Of Her Best,SOGXHEG12AB018653E,160.839,classic country,It Makes No Difference Now,1992
0.426317956,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),37.1573567501,-63.9333578685,12882,Who Is Mike Jones?,SOOLYAZ12A6701F4A6,41.993,rap,Laws Patrolling (Album Version),0
0.392733676,ARGUVEV1187B98BA17,Sierra Maestra,37.1573567501,-63.9333578685,270281,Tibiri Tabara,SOGOSOV12AF72A285E,189.646,charanga,A?DA3nde va Chichi?,1997
0.488019842,ARPQ4Z01187FB3A736,Butthole Surfers,29.42449,-98.49462,244586,Piouhgd + Widowermaker!,SOJXVAH12A8C139700,130.586,noise rock,"Barking Dogs (From ""Piouhgd"")",0
0.41168896,ARNQAVF11F4C844C04,Despina Vandi,37.1573567501,-63.9333578685,157648,Profities,SOVXMTN12A8C135A18,128.292,dance pop,OUTE ENA EFHARISTO,0
0.382651971,ARXUT4W1187FB48BEB,Javier Navarrete,37.1573567501,-63.9333578685,644631,Cracks,SORSECL12AB0182267,90.932,orchestra,Midnight Swim,0
0.294861262,ARDD1RC1187B9B52B4,Jacob Young,37.1573567501,-63.9333578685,730551,Pieces Of Time,SOOGFBZ12AC3DF7FF2,89.667,cool jazz,In A Subtle Way,0
0.393121934,ARLGWFM1187FB4AC9F,Scarlet's Remains,34.05349,-118.24532,709879,The Palest Grey,SOMSBGZ12AB018C4CB,115.061,gothic metal,Spin,2007
0.467538444,ARWYVP51187B98C516,The Suicide Machines,42.33168,-83.04792,706005,A Match & Some Gasoline,SONYRZV12AB018AF70,115.887,ska punk,Burning In The Aftermath,2003
0.735765693,ARFCUN31187B9AD578,The Rolling Stones,51.50632,-0.12714,42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,SONQBUB12A6D4F8ED0,139.333,blues,Angie (1993 Digital Remaster),0
0.350078579,AR6YDKV1187B989230,Roberto Torres,37.1573567501,-63.9333578685,782470,Lo Mejor con La Orq. Broadway,SOHGKJW12AC468A8BD,117.271,salsa,Sabor Guajiro,0
